(81.8186991496, -15.8706095891),
 (81.0364071848, -19.2231717718),
 (80.4241521234, -21.3636373824),
 (77.5608634881, -35.2245203403),
 (76.3404484212, -32.3651498252),
 (74.2460923202, -32.4564536992),
 (68.0242333354, -36.0630068168),
 (66.7726507151, -38.6172186306),
 (67.4172275737, -42.9346420552),
 (69.8822421891, -48.2403603006),
 (69.9070391875, -68.7336257521),
 (75.1270868804, -87.5166232681),
 (80.3199627367, -67.2358740787),
 (80.1242041581, -60.8465122366),
 (80.6551043431, -53.1297827664),
 (79.7700566452, 13.8374348118),
 (79.8007140583, 99.0669566589),
 (73.1929981673, 102.20890493),
 (72.423892418, 100.93341878),
 (71.8411931319, 107.000250523),
 (71.0746352331, 110.570157005),
 (68.6384881308, 112.079643908),
 (66.8569593588, 109.598703408),
 (65.9937436904, 99.9588097142),
 (63.7511821404, 102.967442994),
 (63.1456925777, 105.056103709),
 (60.0546834855, 103.518306598),
 (58.2599278262, 100.637727309),
 (54.0197720129, 103.948165856),
 (56.9420865917, 114.51125874),
 (54.9593911179, 115.63632024),
 (50.5287012923, 117.38644494),
 (49.8665068283, 116.778668519),
 (47.8019814663, 118.75332086),
 (44.6316852317, 123.839883857),
 (43.856630468, 124.527201681),
 (44.0163769175, 126.890689305),
 (43.5684051062, 130.847089325),
 (35.6163611631, 128.49496305),
 (35.8909922765, 136.627453062),
 (34.9887658378, 137.333308861),
 (42.959840485, 142.668007941),
 (51.8130808534, 137.744319219),
 (59.2221670019, 137.697744269),
 (58.3355288105, 130.31089622),
 (51.152842702, 124.14302164),
 (45.824189386, 110.978225474),
 (41.390074817, 111.238278645),
 (35.9989704986, 109.921710406),
 (34.7556221267, 109.224640545),
 (32.7998711753, 103.547415646),
 (29.3196160861, 106.865241169),
 (27.4218319727, 103.815046305),
 (26.2018557251, 104.458117806),
 (24.1799509943, 101.501905516),
 (26.5237820899, 97.8049672125),
 (28.0538021321, 96.9918755691),
 (27.248684631, 95.6864324972),
 (22.6583724241, 94.5305986609),
 (21.2962245251, 95.9740296487),
 (19.9922116757, 95.8697383042),
 (20.4720357014, 94.4028189472),
 (19.0239003089, 97.4185584392),
 (22.0595193358, 89.2320141727),
 (21.4454157237, 85.6339211375),
 (18.2742539159, 82.3983909847),
 (24.8794333978, 82.5036635414),
 (24.8120664064, 79.1772346884),
 (22.7857451441, 76.6434477045),
 (20.1368402345, 74.6880046315),
 (23.6563414705, 69.9389799618),
 (29.2224249754, 67.8783959953),
 (29.4002145843, 66.3662237203),
 (28.230295465, 59.7857154812),
 (28.3310224229, 57.4194702411),
 (26.5988789893, 54.9466386032),
 (26.8106885551, 54.0872415498),
 (29.711024555, 51.4241810733),
 (32.6357557787, 50.4747938285),
 (36.7798447634, 50.7164322528),
 (36.8476031457, 52.6665039606),
 (35.8146513004, 55.0549658381),
 (37.2790543645, 58.5281741238),
 (33.7562250791, 58.7580132578),
 (38.0639356929, 65.9467499069),
 (35.155212083, 68.9575432302),
 (36.0634589964, 71.3835470304),
 (41.8540148599, 72.5911158891),
 (43.6770440582, 79.182974518),
 (46.7374472811, 84.8443350601),
 (48.318710385, 82.0781307375),
 (50.3975219959, 82.3185710408),
 (53.8488199481, 80.2830588767),
 (55.6798134505, 74.9299747168),
 (55.2292585362, 67.5416097216),
 (54.8699699282, 67.4816343031),
 (50.9325308996, 64.0359371574),
 (49.1216324041, 58.5525485586),
 (45.2729020507, 64.2449313139),
 (42.0162701008, 56.2155995023),
 (44.1081336283, 50.2573305727),
 (41.7937459372, 47.2607463899),
 (39.8168369863, 43.1671858053),
 (38.9123019156, 42.0385786603),
 (38.5719019473, 36.6917438103),
 (38.7044487734, 33.7392721727),
 (38.5847115581, 32.4980118364),
 (40.6285552601, 32.6817371862),
 (46.8625975357, 24.819112808),
 (46.3605255227, 21.6841026043),
 (49.5441643865, 19.4969286887),
 (52.3677837119, 19.2034988829),
 (53.1202439076, 16.2024519019),
 (54.1294537488, 10.5424953576),
 (50.389593917, 12.5016344451),
 (49.8108249015, 10.0261588194),
 (49.1396355137, 7.66467614557),
 (47.5386571305, 15.3953462574),
 (46.4101208852, -0.160487534711),
 (48.746284796, -3.30464864265),
 (55.0971299103, -3.99355313905),
 (61.1136891753, 13.263133276),
 (65.3785815457, 17.1117463645),
 (58.7941843616, 35.542689796),
 (60.9183014123, 39.2620836475),
 (62.402746198, 45.7055554148),
 (61.9122341028, 51.6457985799),
 (58.5999111023, 53.7680705301),
 (63.2495850018, 66.893699203),
 (63.4016411583, 68.8220436834),
 (64.9812451154, 75.9585190634),
 (65.2848699684, 80.4167322607),
 (62.4337972701, 84.6299327556),
 (62.8458854794, 98.0765547982),
 (55.988916279, 92.6113260595),
 (45.0306162374, 88.5455993058),
 (44.7678048735, 97.1087350527),
 (43.5965023929, 99.0022125921),
 (41.8338668726, 96.3723453678),
 (40.0307185948, 102.740578084),
 (45.5239249058, 103.858833937),
 (37.7906954455, 91.9113915181),
 (36.6249054089, 87.3564173976),
 (36.3471122077, 85.6484934415),
 (33.877340139, 88.9205467224),
 (32.5219731376, 94.6344139548),
 (32.382101985, 96.4470765596),
 (28.0603636413, 84.6575785723),
 (30.801949783, 80.4204945767),
 (29.4101181684, 79.3380198031),
 (30.6912568983, 75.05383403),
 (21.4496040022, 50.4007375732),
 (20.3541890905, 50.9493262583),
 (18.8625753661, 50.9607867611),
 (16.3884415749, 48.3426353739),
 (14.7099872161, 44.9894335631),
 (10.4542355165, 42.8232584698),
 (9.3492463661, 40.6675176618),
 (7.95776752394, 40.3318556866),
 (8.63526108701, 38.3934879776),
 (6.4556662893, 42.1471146475),
 (3.59362821656, 41.6792097729),
 (0.717387051202, 36.9058628144),
 (-0.961563417729, 37.5194601549),
 (-2.77659493463, 38.278360975),
 (-5.4346233555, 39.6153585789),
 (-4.63646566039, 35.5643933926),
 (-4.5472154672, 31.7883479162),
 (-7.03078185027, 30.2308280247),
 (-8.3627331066, 31.5139765984),
 (-8.75438245408, 32.4418795819),
 (-9.27289802804, 32.7925321604),
 (-12.547884606, 31.3727572433),
 (-17.1787357541, 28.5764723994),
 (-16.8149246957, 25.9617903581),
 (-17.4510191356, 24.0465700228),
 (-17.3411206874, 22.9753682418),
 (-16.2916513173, 21.5098017557),
 (-15.2271735737, 20.2132095697),
 (-13.7900405882, 22.5067698785),
 (-14.2857149141, 25.700647386),
 (-13.6639423009, 25.8194358424),
 (-6.16652224836, 26.0943813433),
 (-5.15692849816, 23.4189385741),
 (-5.89126257983, 22.7663419553),
 (-3.70914204198, 20.3189014158),
 (-2.11203020232, 17.5608423954),
 (-1.55196912724, 17.1352607889),
 (-0.646195499596, 16.214231198),
 (-3.52942465336, 16.8866945482),
 (-3.80414420558, 15.628796834),
 (-5.12092249003, 16.6865250427),
 (-8.47055987555, 16.0639648719),
 (-10.6406378408, 14.9223963662),
 (-11.3718461643, 18.2271406809),
 (-15.4019346589, 16.1714863835),
 (-17.3544143247, 13.4616237371),
 (-20.1503118439, 13.9212485025),
 (-24.9855388613, 20.549006873),
 (-28.6124491414, 18.5368102478),
 (-33.4687789654, 25.8901694738),
 (-27.1393807307, 31.9343569535),
 (-22.6901837975, 30.5351807443),
 (-18.9593756098, 32.311152212),
 (-15.300990079, 39.5498744919),
 (-23.3540862757, 44.6705713705),
 (-1.13790053005, 31.452620803),
 (2.72338439214, 27.7565724832),
 (2.51954313629, 26.1460653331),
 (-1.94722318247, 25.6842310494),
 (1.24325225185, 21.6139243456),
 (3.61705607236, 18.5647075718),
 (8.92403085266, 18.9721226246),
 (9.12525460327, 19.2944381048),
 (8.87918153391, 19.6371748267),
 (12.2693980815, 18.5791563299),
 (15.9693423062, 14.8050906624),
 (18.1081736502, 8.09448396667),
 (20.9631304387, 6.80470809128),
 (21.9590663068, 9.80045296157),
 (23.8996011265, 12.1868102707),
 (26.7845989543, 9.97885372259),
 (27.4420820515, 11.9599237904),
 (30.5196594175, 10.81672092),
 (30.8814898925, 13.4353292494),
 (32.8809877386, 12.0096238496),
 (35.9189783351, 14.4088022948),
 (29.3518475381, 17.2554452027),
 (26.3598820512, 22.0073606935),
 (23.4147282353, 23.9920658411),
 (21.1004496691, 19.7083325668),
 (18.9886560578, 21.9224393462),
 (17.7077285297, 23.3729723167),
 (17.7387441511, 25.286100297),
 (15.0804133911, 31.9271638208),
 (11.9312398986, 31.7290175395),
 (9.92771980043, 31.6852554501),
 (9.82544217923, 26.113765997),
 (8.17713700845, 24.8675371673),
 (14.3214115628, 35.9826628285),
 (14.9046547498, 37.1308970779),
 (18.1526031993, 37.1129628856),
 (20.3490564529, 42.1220052391),
 (20.8199995849, 43.9922553367),
 (21.1114374131, 46.2118449934),
 (22.6027425862, 42.5615644641),
 (28.4174923026, 46.6613275693),
 (29.8712954347, 40.6793037458),
 (23.5500076203, 33.7911181272),
 (24.8879741404, 30.1955419764),
 (26.8169382045, 30.3912640198),
 (28.4314423003, 27.1518915761),
 (27.3359472984, 6.06426900017),
 (23.5793010353, 0.231102197825),
 (25.2209537941, -0.881647419523),
 (28.8563733668, -1.28853118012),
 (31.1901981515, -5.66847092545),
 (37.6545057208, -2.76411995555),
 (37.9664133224, -3.09998688339),
 (27.3014451766, -12.527735596),
 (21.848466921, -8.6625533555),
 (18.2816073121, -10.8804371585),
 (15.9337343218, -9.39588316316),
 (15.1232484731, -12.4689651813),
 (12.460996274, -15.2585870657),
 (7.65698056434, -9.18133271808),
 (10.0993014561, -5.31470587031),
 (9.34080061916, 0.391537956061),
 (8.62556910571, 1.58828608477),
 (8.00674569927, 2.62754530358),
 (16.1030586633, 3.12122130246),
 (18.0957460426, -4.74887033903),
 (-0.413616074772, 12.5969589004),
 (-8.52730122434, -38.1873789779),
 (-11.5912529198, -40.0014607051),
 (-13.4539109121, -46.9016710651),
 (-14.6689242876, -48.5075805673),
 (-14.202911472, -49.5494737033),
 (-11.602998047, -50.6884343074),
 (-8.80479680128, -49.2035550793),
 (-7.52503658767, -50.1552135744),
 (-6.17882163869, -53.6181968614),
 (-4.0150426662, -52.4382873106),
 (-4.38180511867, -55.4524397086),
 (1.72981396911, -54.9175041472),
 (4.05346731124, -57.5592048435),
 (3.10889480593, -59.3220734103),
 (1.27397698169, -58.4638054966),
 (0.551475826971, -59.7227025023),
 (-3.32007241264, -62.6752029871),
 (-3.50518121222, -67.3009391752),
 (-0.307466446845, -71.1218351117),
 (5.60672037121, -70.1103444638),
 (5.67751805593, -73.5878083759),
 (3.94605157992, -76.27128046),
 (5.87339385188, -77.2965406138),
 (0.214796645926, -77.4824361784),
 (-4.47687748284, -81.093608304),
 (-8.88956577573, -73.960860261),
 (-14.303173886, -75.6825800207),
 (-18.361839155, -64.621049896),
 (-21.4841710972, -66.3238948738),
 (-21.3154831469, -62.1946137067),
 (-17.8090710575, -59.2810972519),
 (-14.858239967, -58.714330399),
 (-16.5342479691, -54.2192734811),
 (-18.2749882287, -53.5997266895),
 (-18.5764212222, -55.3224170884),
 (-22.2529615018, -57.3743255287),
 (-25.2145876914, -56.7535075504),
 (-25.8808790078, -60.7539757354),
 (-29.4896411572, -61.4481423525),
 (-31.0248757049, -68.1297688204),
 (-33.8216484578, -67.7355643968),
 (-39.9808305619, -67.074750392),
 (-42.6320172237, -65.9901994356),
 (-44.1541008368, -68.5402699695),
 (-49.3943061896, -73.0439378572),
 (-50.3866674537, -73.0279942152),
 (-64.3196786809, -60.9116731009),
 (-75.3451308802, -61.9504836067),
 (-77.8347333897, -56.1531150405),
 (-78.1693302947, -81.2936257864),
 (-75.3813635674, -85.7827969704),
 (-73.8894598413, -99.0406665654),
 (-77.2613727396, -100.577965817),
 (-79.8696968159, -104.102542264),
 (-81.265387642, -82.278375318),
 (-83.4688641688, -85.0667325326),
 (-87.2642926935, -110.430969402),
 (-88.1676968843, -111.781611049),
 (-87.6484109589, -149.919719347),
 (-88.1692848779, -172.196928749),
 (-89.0858632832, -177.343773057),
 (-89.9793265751, -119.748179919),
